WORD,UK(IPA),US(IPA)
A,[eɪ],[eɪ]
ago,[əˈɡəʊ],[əˈɡoʊ]
B,[biː],[biː]
baby,[ˈbeɪbi],[ˈbeɪbi]
bag,[bæɡ],[bæɡ]
bed,[bed],[bed]
bid,[bɪd],[bɪd]
bird,[bɜːd],[bɜːrd]
bit,[bɪt],[bɪt]
bitch,[bɪtʃ],[bɪtʃ]
bus,[bʌs],[bʌs]
C,[siː],[siː]
Cindy,[ˈsɪndi],[ˈsɪndi]
city,[ˈsɪti],[ˈsɪti]
D,[diː],[diː]
E,[iː],[iː]
eat,[iːt],[iːt]
F,[ef],[ef]
fit,[fɪt],[fɪt]
fuck,[fʌk],[fʌk]
G,[dʒiː],[dʒiː]
give,[ɡɪv],[ɡɪv]
H,[eɪtʃ],[eɪtʃ]
heat,[hiːt],[hiːt]
hit,[hɪt],[hɪt]
I,[aɪ],[aɪ]
international,[ˌɪntəˈnæʃ(ə)nəl],[ˌɪntərˈnæʃnəl]
it,[ɪt],[ɪt]
J,[dʒeɪ],[dʒeɪ]
K,[keɪ],[keɪ]
L,[el],[el]
lake,[leɪk],[leɪk]
later,[ˈleɪtə(r)],[ˈleɪtər]
let,[let],[let]
letter,[ˈletə(r)],[ˈletər]
lever,[ˈliːvə(r)],[ˈlevər]
litter,[ˈlɪtə(r)],[ˈlɪtər]
liver,[ˈlɪvə(r)],[ˈlɪvər]
M,[em],[em]
main,[meɪn],[meɪn]
make,[meɪk],[meɪk]
meet,[miːt],[miːt]
N,[en],[en]
need,[niːd],[niːd]
O,[əʊ],[oʊ]
P,[piː],[piː]
peg,[peɡ],[peɡ]
pen,[pen],[pen]
pig,[pɪɡ],[pɪɡ]
plane,[pleɪn],[pleɪn]
Q,[kjuː],[kjuː]
R,[ɑː(r)],[ɑːr]
S,[es],[es]
saint,[seɪnt; snt],[seɪnt]
set,[set],[set]
sex,[seks],[seks]
sheep,[ʃiːp],[ʃiːp]
ship,[ʃɪp],[ʃɪp]
shit,[ʃɪt],[ʃɪt]
sister,[ˈsɪstə(r)],[ˈsɪstər]
sit,[sɪt],[sɪt]
six,[sɪks],[sɪks]
sleepy,[ˈsliːpi],[ˈsliːpi]
T,[tiː],[tiː]
thief,[θiːf],[θiːf]
tidy,[ˈtaɪdi],[ˈtaɪdi]
train,[treɪn],[treɪn]
U,[juː],[juː]
V,[viː],[viː]
W,[ˈdʌbljuː],[ˈdʌbljuː]
X,[eks],[eks]
Y,[waɪ],[waɪ]
Z,[zed],[ziː]
